,network,name,func,k,bias,numPI,time_PI,ks,time_sym,time_ks,time_cov,ke,tss,correct,timeout,time_sym_std,ks_norm,ke_norm,source,version
0,Apoptosis Network,Cas3,0111111100000000,4,0.4375,3,0.00011968612670898438,,0.0018471717834472657,,,1.625,"[[('2000', [], [[1, 2, 3]]), ('1222', [], [[1, 2, 3]])], [('0212', [[1, 2, 3]], [])]]",True,False,0.00014061268874777274,,0.40625,cc,v0.1.2
1,Apoptosis Network,Cas12,01,1,0.5,1,3.147125244140625e-05,,0.0008251667022705078,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,9.731240573326104e-05,,0.0,cc,v0.1.2
2,Apoptosis Network,IAP,0011000000100000,4,0.1875,3,0.0001614093780517578,,0.003115272521972656,,,1.520833333333333,"[[('2122', [], [[0, 2, 3]]), ('1221', [], [[0, 3], [1, 2]]), ('2202', [], [[0, 1, 3]])], [('0012', [[0, 3]], [])]]",True,False,0.0005633090011255892,,0.38020833333333326,cc,v0.1.2
3,Apoptosis Network,cFLIP,01,1,0.5,1,3.3855438232421875e-05,,0.0008753776550292969,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,7.502250415446824e-05,,0.0,cc,v0.1.2
4,Apoptosis Network,TRADD,01,1,0.5,1,3.981590270996094e-05,,0.0009146690368652344,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,0.00010555343848234788,,0.0,cc,v0.1.2
5,Apoptosis Network,TNFR2,01,1,0.5,1,3.62396240234375e-05,,0.0009618759155273438,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,0.00013404558308397163,,0.0,cc,v0.1.2
6,Apoptosis Network,PTEN,01,1,0.5,1,3.504753112792969e-05,,0.0008671283721923828,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,2.886932987336504e-05,,0.0,cc,v0.1.2
7,Apoptosis Network,APC,0000000100000000,4,0.0625,4,0.00018215179443359375,,0.00527801513671875,,,1.1875,"[[('2022', [[1, 2, 3]], [[0, 2]]), ('1222', [], [[1, 2, 3]])], [('0111', [], [[1, 2, 3]])]]",True,False,0.0011901905196495587,,0.296875,cc,v0.1.2
8,Apoptosis Network,FADD,01,1,0.5,1,3.4809112548828125e-05,,0.0009270191192626953,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,7.583560957779214e-05,,0.0,cc,v0.1.2
9,Apoptosis Network,Apaf1,01,1,0.5,1,3.504753112792969e-05,,0.0009001255035400391,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,9.106248986586237e-05,,0.0,cc,v0.1.2
10,Apoptosis Network,Mito,0010,2,0.25,2,5.555152893066406e-05,,0.0012099266052246094,,,1.25,"[[('02', [], []), ('21', [], [])], [('10', [], [])]]",True,False,0.00014692299214024159,,0.625,cc,v0.1.2
11,Apoptosis Network,JNK,01,1,0.5,1,3.9577484130859375e-05,,0.0010075569152832031,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,0.00015974948629743647,,0.0,cc,v0.1.2
12,Apoptosis Network,Mdm2,0111,2,0.75,2,4.38690185546875e-05,,0.0013976573944091796,,,1.25,"[[('00', [], [[0, 1]])], [('12', [[0, 1]], [])]]",True,False,7.487063160693802e-05,,0.625,cc,v0.1.2
13,Apoptosis Network,Cas8,01110000,3,0.375,2,6.461143493652344e-05,,0.0016786575317382813,,,1.5625,"[[('200', [], [[1, 2]]), ('122', [], [[1, 2]])], [('021', [[1, 2]], [])]]",True,False,6.733666696929184e-05,,0.5208333333333334,cc,v0.1.2
14,Apoptosis Network,p53,01001100,3,0.375,2,7.176399230957031e-05,,0.0018668651580810546,,,1.5625,"[[('212', [], [[0, 2]]), ('020', [], [[0, 2]])], [('201', [[0, 2]], [])]]",True,False,0.00031274201755711323,,0.5208333333333334,cc,v0.1.2
